Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
박치국,0.03,52,0,52,15,0,0,2,3,1,3,48,34,34,35.05,222,59,6,0,8,18,10,1,35,1,1,1,6.38,6.38,6.57,6.7,6.1,1.6,6.56,3.38,1.94,1.5,15.8,8.1,7.7,0.345,69.7,4.23,4.48,0.27,133.75,127.53,130.13,0.316,0.397,0.476,0.873,803,15.4,16.7,3.62,0,,0,,0,0,0,29,,0,0,,0,0,28,8,28.6,,,,,,12,1,11,1,3,3,0,3,57.1,1,1,1,0,4,12,33,11,33.3,28,8,28.6,0.92,15.44,0.95,0.03,0.345,148,47.2,5.7,43.4,49.1,3.8,1,10.3,20.3
김도윤,-0.01,2,0,2,2,0,0,0,0,0,0,2.1,1,2,2,12,2,1,0,0,2,1,0,1,0,0,0,3.86,7.71,7.71,8.32,7.11,1.71,3.86,7.71,0.5,0,8.3,16.7,-8.3,0.25,60,7.25,6.4,-3.26,80.93,158.2,151.67,0.222,0.417,0.333,0.75,44,22,18.9,3.67,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,,1.17,22,0.07,-0.01,0.25,8,37.5,0,62.5,62.5,0,0.6,0,50
박소준,-0.07,1,1,0,0,0,0,0,1,0,0,4,5,5,5,20,6,0,0,2,2,0,0,2,0,0,1,11.25,11.25,11.25,10.2,10.45,2,4.5,4.5,1,4.5,10,10,0,0.286,60,4.61,5.4,0.8,236.03,194.04,222.79,0.333,0.4,0.667,1.067,71,71,17.8,3.55,0,0,0,0,0,0,0,2,4.5,0,1,0,0,0,1,0,0,4,71,30,-0.07,-0.14,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,0,,,,,0.286,14,37.5,6.3,37.5,43.8,18.8,0.9,28.6,0
권휘,-0.1,8,0,8,3,0,0,0,0,0,0,9,11,11,8.8,49,15,3,0,0,7,0,0,11,0,0,1,11,11,8.8,9.22,3.55,2.44,11,7,1.57,0,22.4,14.3,8.2,0.5,50,3.67,4.42,7.45,230.79,175.44,75.79,0.366,0.458,0.439,0.897,205,25.6,22.8,4.18,0,,0,,0,0,0,2,,0,0,,0,0,7,5,71.4,,,,,,1,0,3,0,0,0,0,0,,0,0,0,0,0,2,1,1,100,7,5,71.4,1.13,25.63,0.26,-0.1,0.5,30,45.2,0,51.6,51.6,3.2,0.9,0,20
정철원,-0.11,36,0,36,14,0,0,2,1,6,1,32.1,23,24,25.55,165,39,7,2,5,26,5,0,39,1,0,0,6.4,6.68,7.11,7.01,6,2.01,10.86,7.24,1.5,1.39,23.6,15.8,7.9,0.382,73,4.27,4.45,0.41,134.32,133.38,127.85,0.295,0.427,0.492,0.919,634,17.6,19.6,3.84,0,,0,,0,0,0,14,,0,0,,0,0,11,5,45.5,,,,,,7,0,5,6,1,1,0,1,87.5,0,0,1,0,5,10,19,8,42.1,11,5,45.5,0.9,17.61,1.09,-0.11,0.382,89,32.6,10.5,50.5,61.1,6.3,0.5,8.6,5.1
김정우,-0.13,1,0,1,0,0,0,0,0,0,0,0.1,3,3,2.5,4,3,2,0,0,0,0,0,0,0,0,0,81,81,67.5,72.77,4.2,9,0,0,,0,0,0,0,1,0,4.4,5.4,76.8,1699.43,1384.27,89.53,1,1,1.667,2.667,11,11,33,2.75,0,,0,,0,0,0,0,,0,0,,0,0,1,1,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,100,0.33,11,0.21,-0.13,1,3,75,0,25,25,0,3,0,0
김동주,-0.25,14,9,5,3,1,0,1,3,0,0,50,38,46,42.45,244,67,12,3,6,21,4,0,35,3,1,7,6.84,8.28,7.64,7.9,5.43,1.76,6.3,3.78,1.67,1.08,14.3,8.6,5.7,0.345,54.8,4.11,4.71,1.41,143.51,150.27,115.72,0.315,0.379,0.484,0.863,914,65.3,18.3,3.75,0,0,0,0,4,0,0,23,5.1,3,5,37.5,0,0,14,6,42.9,4.52,83.33,39.11,-0.07,-0.79,0,0,2,0,0,0,1,1,0,0,0,0,1,1,7,3,1,33.3,14,6,42.9,1.87,32.8,1.28,-0.19,0.345,177,52.7,3.8,40.8,44.6,2.7,1.2,7.3,7.5
김호준,-0.31,16,1,15,6,0,0,1,2,0,0,13.1,13,14,15,68,22,6,1,1,4,5,0,6,0,0,0,8.78,9.45,10.13,9.94,6.06,1.95,4.05,2.7,1.5,0.68,8.8,5.9,2.9,0.429,56.7,5.29,5.05,2.72,184.11,189,129.19,0.393,0.477,0.589,1.066,237,14.8,17.8,3.49,0,0,0,0,0,0,0,4,21.6,0,1,0,0,0,9,3,33.3,1.67,46,25,-0.18,-0.21,4,1,3,0,0,0,0,0,,0,0,0,0,2,3,15,5,33.3,9,3,33.3,0.78,12.73,0.77,-0.14,0.429,49,43.4,5.7,41.5,47.2,9.4,0.9,4,13.6
이교훈,-0.56,33,0,33,7,0,0,1,1,0,1,35.1,29,32,32.65,166,43,11,1,7,17,2,0,27,2,0,0,7.39,8.15,8.32,8.78,6.31,1.7,6.88,4.33,1.59,1.78,16.3,10.2,6,0.324,57.7,4.06,4.68,1.07,154.98,167.11,134.61,0.297,0.378,0.531,0.909,653,19.8,18.5,3.93,0,,0,,0,0,0,18,,0,0,,0,0,13,7,53.8,,,,,,7,1,11,0,1,0,2,2,33.3,0,0,0,2,4,4,20,8,40,13,7,53.8,1.07,19.79,0.71,-0.56,0.324,111,47.5,5.8,42.5,48.3,4.2,1,12.1,7
김명신,-1.42,35,0,35,5,0,0,2,1,0,4,32.2,34,34,38.5,168,63,7,0,8,8,2,0,25,1,0,1,9.37,9.37,10.61,11.17,6.15,2.17,6.89,2.2,3.13,2.2,14.9,4.8,10.1,0.447,62.9,3.39,4.19,3.22,196.53,212.44,131.11,0.409,0.44,0.61,1.05,650,18.6,19.9,3.87,0,,0,,0,0,0,24,,0,0,,0,0,11,2,18.2,,,,,,5,0,6,0,4,1,0,1,80,0,0,0,0,3,9,25,10,40,11,2,18.2,0.93,18.57,0.95,-1.42,0.447,123,36.1,6,52.6,58.6,5.3,0.6,10.3,3.2
