Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
성동현,0.08,2,0,2,1,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,7.6,1.5,4.5,13.5,0.33,0,12.5,37.5,-25,0,100,7.6,8.4,-7.6,0,0,162.03,0,0.375,0,0.375,36,18,18,4.5,0,,0,,0,0,0,3,,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,18,0.02,0.08,0,4,100,0,0,0,0,,,
강효종,-0.1,1,1,0,0,0,0,0,0,0,0,1.1,3,3,3,9,2,0,0,1,3,0,0,2,0,0,0,20.25,20.25,20.25,18.46,16.35,3.75,13.5,20.25,0.67,6.75,22.2,33.3,-11.1,0.333,50,7.52,6.73,3.9,424.86,351.23,348.59,0.333,0.556,0.833,1.389,33,33,24.8,3.67,0,0,0,0,1,0,0,1,6.8,1,0,100,0,0,2,0,0,1.33,33,37,-0.13,-0.1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,0,0,,,,,0.333,3,25,0,50,50,25,0.5,50,0
김윤식,-0.11,1,1,0,0,0,0,0,0,0,0,3,4,4,4,17,7,2,0,0,1,0,0,1,1,0,0,12,12,12,12.94,4.4,2.67,3,3,1,0,5.9,5.9,0,0.467,50,4.57,5.4,7.6,251.77,246.09,93.8,0.438,0.471,0.563,1.034,61,61,20.3,3.59,0,0,0,0,0,0,0,1,3,1,0,100,0,0,0,0,,3,61,29,-0.17,-0.11,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.467,15,40,0,53.3,53.3,6.7,0.8,0,0
최동환,-0.23,26,0,26,7,0,0,0,1,0,2,22,17,18,19.7,105,35,6,0,4,9,0,0,14,1,0,0,6.95,7.36,8.06,8.52,6.04,2,5.73,3.68,1.56,1.64,13.3,8.6,4.8,0.397,68.4,4.04,4.83,0.91,145.91,162.1,128.79,0.372,0.419,0.564,0.983,392,15.1,17.8,3.73,0,,0,,0,0,0,6,,0,0,,0,0,9,1,11.1,,,,,,6,0,3,0,2,0,0,0,100,0,0,0,0,4,4,11,4,36.4,9,1,11.1,0.85,15.08,0.53,-0.23,0.397,78,28,8.5,57.3,65.9,6.1,0.4,7.4,5.7
이믿음,-0.27,1,1,0,0,0,0,0,1,0,0,4,7,7,7,27,11,2,0,0,4,0,0,2,0,0,0,15.75,15.75,15.75,16.98,6.05,3.75,4.5,9,0.5,0,7.4,14.8,-7.4,0.524,53.3,6.3,6.29,9.7,330.45,323,128.98,0.478,0.556,0.565,1.121,96,96,24,3.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,4,96,10,-0.34,-0.27,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.524,21,28.6,4.8,66.7,71.4,0,0.4,0,0
김영준,-0.33,14,0,14,5,0,0,1,1,0,0,15.1,14,17,16.65,76,21,3,0,2,9,0,1,11,3,0,2,8.22,9.98,9.77,10.23,5.58,1.96,6.46,5.28,1.22,1.17,14.5,11.8,2.6,0.359,48.1,4.15,5.08,2.64,172.41,194.57,118.87,0.318,0.4,0.455,0.855,325,23.2,21.2,4.28,0,,0,,0,0,0,17,,0,0,,0,0,8,4,50,,,,,,1,0,4,0,0,1,0,1,0,0,0,1,0,2,1,8,3,37.5,8,4,50,1.1,23.21,0.44,-0.33,0.359,53,46.4,0,51.8,51.8,1.8,0.9,6.9,4.8
박명근,-0.34,33,0,33,3,0,0,2,2,1,8,25.1,18,20,20.65,120,29,4,0,6,12,3,0,13,3,0,0,6.39,7.11,7.34,7.79,7.57,1.62,4.62,4.26,1.08,2.13,10.8,10,0.8,0.274,66.7,4.89,5.3,-1.18,134.17,148.25,161.41,0.287,0.373,0.505,0.878,446,13.5,17.6,3.72,0,,0,,0,0,0,18,,0,0,,0,0,21,9,42.9,,,,,,4,0,2,1,8,0,0,0,100,0,1,0,0,4,5,21,10,47.6,21,9,42.9,0.77,13.52,1.25,-0.34,0.274,84,38,7.6,51.1,58.7,3.3,0.6,11.1,10.3
정지헌,-0.41,17,0,17,4,0,0,0,0,0,1,12.1,16,18,15.65,69,19,2,0,2,11,3,0,11,2,0,3,11.68,13.14,11.42,11.87,7.42,2.43,8.03,8.03,1,1.46,15.9,15.9,0,0.405,50,5.61,5.4,4.26,244.96,225.81,158.17,0.352,0.478,0.5,0.978,272,16,22.1,3.94,0,,0,,0,0,0,6,,0,0,,0,0,14,7,50,,,,,,4,0,1,0,1,0,0,0,100,0,0,0,0,0,2,13,2,15.4,14,7,50,0.73,16,0.42,-0.41,0.405,42,45.5,0,50,50,4.5,0.9,9.1,5.3
백승현,-0.5,36,0,36,7,0,0,2,1,2,1,26.2,27,28,25.6,135,33,7,0,3,22,2,2,14,0,0,1,9.11,9.45,8.64,8.92,6.9,2.06,4.73,7.43,0.64,1.01,10.4,16.3,-5.9,0.33,54.7,5.7,6.11,2.21,191.19,169.78,147.1,0.314,0.432,0.467,0.899,536,14.9,20.1,3.97,0,,0,,0,0,0,20,,0,0,,0,0,22,14,63.6,,,,,,3,0,1,2,1,1,1,2,60,0,0,0,1,3,8,22,10,45.5,22,14,63.6,0.74,14.89,0.81,-0.5,0.33,91,43.3,7.2,49.5,56.7,0,0.8,5.5,3
이우찬,-0.73,42,1,41,3,0,0,3,2,0,6,33.2,33,35,33.15,172,42,6,1,2,30,1,0,31,4,1,6,8.82,9.36,8.86,8.94,5.46,2.14,8.29,8.02,1.03,0.54,18,17.4,0.6,0.374,54.3,4.85,5.33,3.36,185.09,169.99,116.39,0.3,0.427,0.4,0.827,678,16.1,20.1,3.94,0,0,0,0,0,0,0,20,100,0,1,0,0,0,29,15,51.7,0.33,26,29,-0.19,-0.19,11,0,3,0,6,0,2,2,75,0,3,0,2,11,10,34,12,35.3,29,15,51.7,0.81,15.9,1.12,-0.55,0.374,107,51.8,8.2,36.4,44.5,3.6,1.2,4.1,14.3
