Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
최금강,0.07,20,0,20,4,0,0,2,1,1,0,28,14,14,19,129,29,6,0,4,17,2,0,25,0,0,3,4.5,4.5,6.11,6.03,5.34,1.64,8.04,5.46,1.47,1.29,19.4,13.2,6.2,0.313,81,3.73,4.66,-0.84,98.26,119.55,116.57,0.274,0.375,0.443,0.818,515,25.8,18.4,3.99,0,,0,,0,0,0,18,,0,0,,0,0,5,3,60,,,,,,3,0,9,1,0,0,0,0,100,0,0,0,0,3,5,21,12,57.1,5,3,60,1.4,25.75,0.71,0.07,0.313,80,48.2,7.1,43.5,50.6,1.2,1,9.3,10.3,,,,,,
이승헌,0,5,0,5,1,0,0,0,0,0,0,5.1,4,5,4.3,27,9,3,0,0,1,0,0,7,1,0,0,6.75,8.44,7.26,6.86,1.07,1.88,11.81,1.69,7,0,25.9,3.7,22.2,0.474,50,1.2,2.73,5.68,147.4,135.97,23.3,0.346,0.37,0.462,0.832,104,20.8,19.5,3.85,0,,0,,0,0,0,2,,0,0,,0,0,1,1,100,,,,,,2,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,1,1,100,1.07,20.8,0.19,0,0.474,19,26.3,5.3,57.9,63.2,10.5,0.4,0,11.1,,,,,,
안인산,-0.05,7,0,7,2,0,0,0,0,0,0,6.2,4,5,6,34,3,1,0,0,7,3,0,9,1,0,3,5.4,6.75,8.1,8.21,5.04,1.5,12.15,9.45,1.29,0,26.5,20.6,5.9,0.2,61.5,5.11,4.69,0.36,117.92,162.74,110.1,0.136,0.382,0.182,0.564,134,19.1,20.1,3.94,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,2,50,1,0,0,0.95,19.14,0.14,-0.05,0.2,15,40,0,53.3,53.3,6.7,0.8,0,0,,,,,,
이용준,-0.1,2,0,2,1,0,0,0,0,0,0,1.2,4,4,3.15,12,3,0,0,0,4,0,0,1,0,0,2,21.6,21.6,17.01,17.41,9.71,4.2,5.4,21.6,0.25,0,8.3,33.3,-25,0.429,42.9,9.85,8.4,11.89,471.66,345.09,211.96,0.375,0.583,0.375,0.958,56,28,33.6,4.67,0,,0,,0,0,0,1,,0,0,,0,0,3,2,66.7,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,3,2,66.7,0.83,28,0.06,-0.1,0.429,7,28.6,0,57.1,57.1,14.3,0.5,0,0,,,,,,
김건태,-0.12,6,0,6,2,0,0,0,0,0,0,6.2,4,4,6.25,29,2,0,0,1,7,0,0,5,0,0,3,5.4,5.4,8.44,8.37,6.93,1.35,6.75,9.45,0.71,1.35,17.2,24.1,-6.9,0.063,62.5,5.24,6.23,-1.53,117.92,166.03,151.37,0.091,0.31,0.227,0.537,131,21.8,19.7,4.52,0,,0,,0,0,0,1,,0,0,,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,4,4,100,1,0,0,1.11,21.83,0.6,-0.12,0.063,16,29.4,5.9,58.8,64.7,5.9,0.5,9.1,0,,,,,,
김진호,-0.14,1,1,0,0,0,0,0,1,0,0,1,3,3,3,7,2,0,0,0,3,0,0,1,0,0,1,27,27,27,25.64,10.57,5,9,27,0.33,0,14.3,42.9,-28.6,0.667,40,10.68,8.83,16.43,589.58,508.25,230.74,0.5,0.714,0.5,1.214,33,33,33,4.71,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,1,33,35,-0.15,-0.14,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.667,3,33.3,0,66.7,66.7,0,0.5,0,0,,,,,,
강윤구,-0.14,1,1,0,0,0,0,0,0,0,0,2,4,4,4,12,5,1,0,1,2,0,0,3,0,0,0,18,18,18,17.04,9.07,3.5,13.5,9,1.5,4.5,25,16.7,8.3,0.667,50,3.2,4.4,8.93,393.05,337.88,197.99,0.5,0.583,0.9,1.483,65,65,32.5,5.42,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,2,65,31,-0.18,-0.14,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,0,0,,,,,,0.667,6,42.9,0,42.9,42.9,14.3,1,33.3,20,,,,,,
소이현,-0.18,10,0,10,6,0,0,0,0,0,0,10.2,8,12,12.5,59,13,3,0,1,12,0,0,10,2,0,1,6.75,10.13,10.55,9.65,6.03,2.34,8.44,10.13,0.83,0.84,16.9,20.3,-3.4,0.333,54.2,4.99,5.81,0.72,147.4,191.26,131.59,0.289,0.424,0.422,0.846,238,23.8,22.3,4.03,0,,0,,0,0,0,21,,0,0,,0,0,5,0,0,,,,,,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,5,0,0,1.07,23.8,0.16,-0.18,0.333,36,59.5,0,37.8,37.8,2.7,1.6,7.1,7.7,,,,,,
김태현,-0.26,6,0,6,4,0,0,0,0,0,0,5.1,7,8,9.2,32,5,0,0,0,7,4,0,3,1,0,3,11.81,13.5,15.53,15.27,8.75,2.25,5.06,11.81,0.43,0,9.4,21.9,-12.5,0.278,50,8.83,6.9,3.06,257.94,302.64,191.16,0.263,0.5,0.263,0.763,114,19,21.4,3.56,0,,0,,0,0,0,3,,0,0,,0,0,6,3,50,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,9,6,66.7,6,3,50,0.89,19,0.1,-0.26,0.278,18,61.1,0,38.9,38.9,0,1.6,0,20,,,,,,
강동연,-0.31,12,3,9,0,0,0,3,2,0,1,23,20,21,20.3,109,25,4,1,4,14,0,0,14,2,0,3,7.83,8.22,7.94,7.99,6.2,1.7,5.48,5.48,1,1.57,12.8,12.8,0,0.273,54.5,4.25,5.4,1.62,170.89,158.35,135.42,0.269,0.358,0.462,0.82,435,36.3,18.9,3.99,0,0,0,0,1,0,0,19,15.1,1,2,33.3,0,0,10,7,70,3.78,70.33,38.33,-0.41,-0.2,2,0,4,0,1,0,1,1,50,0,0,0,0,1,7,7,5,71.4,10,7,70,1.3,24.89,1.06,-0.1,0.273,77,34.6,8.6,51.9,60.5,4.9,0.6,8.2,8,,,,,,
손정욱,-0.35,15,0,15,1,0,0,1,0,0,0,12.1,9,9,12.45,61,17,2,3,1,7,0,0,8,0,0,1,6.57,6.57,9.09,8.7,4.87,1.95,5.84,5.11,1.14,0.73,13.1,11.5,1.6,0.356,65.2,4.02,5.2,1.7,143.41,172.49,106.33,0.333,0.393,0.549,0.942,247,16.5,20,4.05,0,,0,,0,0,0,5,,0,0,,0,0,10,3,30,,,,,,1,0,3,0,0,0,1,1,0,0,0,0,1,3,4,14,9,64.3,10,3,30,0.82,16.47,1,-0.35,0.356,45,45.7,4.3,50,54.3,0,0.8,4,5.9,,,,,,
김진성,-0.97,42,0,42,6,0,0,2,4,1,9,37.2,30,34,34,174,43,10,0,7,18,1,3,37,2,0,2,7.17,8.12,8.12,7.94,5,1.62,8.84,4.3,2.06,1.67,21.3,10.3,10.9,0.327,53.8,2.91,4.09,2.16,156.53,157.32,109.27,0.283,0.358,0.487,0.845,663,15.8,17.6,3.81,0,,0,,0,0,0,22,,0,0,,0,0,14,9,64.3,,,,,,10,0,5,1,9,2,4,6,62.5,0,1,1,3,9,11,24,10,41.7,14,9,64.3,0.9,15.79,1.33,-0.97,0.327,110,32.2,4.2,62.7,66.9,0.8,0.5,8.9,7,,,,,,
