Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%
김건희,-0.14,3,0,3,2,0,0,0,0,0,0,2,5,5,3.95,14,6,0,0,2,2,0,0,0,0,0,0,22.5,22.5,17.78,18.97,18.85,4,0,9,0,9,0,14.3,-14.3,0.4,60,7.15,7.11,3.65,553.64,416.98,463.81,0.5,0.571,1,1.571,57,19,28.5,4.07,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,100,3,3,100,0.67,19,0.04,-0.14,0.4,10,25,0,75,75,0,0.3,22.2,0
맥키니,-0.16,12,12,0,0,0,0,1,9,0,0,59.1,43,46,44.8,268,61,14,1,10,36,1,0,39,2,1,3,6.52,6.98,6.8,7,6.14,1.63,5.92,5.46,1.08,1.52,14.6,13.4,1.1,0.282,61.9,4.22,5.27,0.38,160.49,153.86,151.2,0.269,0.367,0.471,0.838,1089,90.8,18.4,4.06,4,33.3,1,8.3,2,0,0,20,3,2,10,16.7,0,0,6,2,33.3,4.94,90.75,42.08,-1.22,-0.16,0,0,0,0,0,0,0,0,,0,0,0,0,1,7,0,0,,6,2,33.3,,,,,0.282,181,42.2,6.8,47.9,54.7,3.1,0.8,9.5,13.1
주승우,-0.21,11,2,9,1,0,0,0,1,0,0,16,17,18,14.75,90,20,7,0,1,21,2,0,8,0,0,3,9.56,10.13,8.3,8.61,7.8,2.56,4.5,11.81,0.38,0.56,8.9,23.3,-14.4,0.339,59.5,7.14,7.13,1.76,235.3,189.22,191.91,0.308,0.489,0.462,0.951,382,34.7,23.9,4.24,0,0,0,0,1,0,0,7,12.6,0,2,0,0,0,14,7,50,2.5,61.5,35,-0.22,-0.13,1,0,3,0,0,0,0,0,,0,0,0,0,0,2,2,0,0,14,7,50,1.22,28.78,0.21,-0.08,0.339,56,45.8,1.7,47.5,49.2,5.1,0.9,3.4,15
원종현,-0.24,20,0,20,1,0,0,1,1,0,6,18.2,12,16,13.75,87,24,8,1,3,5,1,1,17,2,0,2,5.79,7.71,6.63,6.71,4.32,1.55,8.2,2.41,3.4,1.45,19.5,5.7,13.8,0.35,53.8,2.5,3.74,1.47,142.37,147.46,106.19,0.304,0.349,0.544,0.893,322,16.1,17.3,3.7,0,,0,,0,0,0,16,,0,0,,0,0,7,4,57.1,,,,,,5,1,0,0,6,4,0,4,60,0,0,0,0,7,4,0,0,,7,4,57.1,0.93,16.1,1.33,-0.24,0.35,60,37.5,7.8,53.1,60.9,1.6,0.6,7.7,0
윤석원,-0.25,21,0,21,3,0,0,2,0,0,2,24,12,17,19.25,110,29,5,0,2,8,0,1,8,3,0,1,4.5,6.38,7.22,7.5,4.91,1.54,3,3,1,0.75,7.3,7.3,0,0.307,58.8,4.02,5.4,-0.41,110.73,164.9,120.86,0.302,0.349,0.417,0.766,418,19.9,17.4,3.8,0,,0,,0,0,0,7,,0,0,,0,0,5,2,40,,,,,,5,2,6,0,2,0,0,0,100,0,0,0,0,1,3,9,6,66.7,5,2,40,1.14,19.9,0.52,-0.25,0.307,88,43.6,2.1,54.3,56.4,0,0.8,3.8,3.4
이영준,-0.29,2,0,2,0,0,0,0,1,0,0,1.2,4,4,3.5,10,4,0,0,0,1,0,0,0,0,0,1,21.6,21.6,18.9,19.71,5.71,3,0,5.4,0,0,0,10,-10,0.444,20,5.84,6.6,15.89,531.5,433.29,140.48,0.444,0.5,0.444,0.944,34,17,20.4,3.4,0,,0,,0,0,0,0,,0,0,,0,0,2,1,50,,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,,2,1,50,0.83,17,1.21,-0.29,0.444,9,44.4,11.1,44.4,55.6,0,0.8,0,25
이종민,-0.29,11,2,9,4,0,0,0,1,0,0,13.2,11,13,13.7,72,22,7,0,0,6,1,0,10,3,0,0,7.24,8.56,9.02,9.63,3.61,2.05,6.59,3.95,1.67,0,13.9,8.3,5.6,0.4,55.2,3.72,4.73,3.64,178.25,211.58,88.78,0.349,0.403,0.46,0.863,306,27.8,22.4,4.25,0,0,0,0,0,0,0,5,12.3,1,1,50,0,1,5,3,60,1.83,53,33,-0.38,-0.32,0,0,1,0,0,0,0,0,,0,0,0,0,0,2,8,4,50,5,3,60,1.11,22.22,0.22,0.03,0.4,55,36.4,9.1,54.5,63.6,0,0.6,0,9.1
김동규,-0.47,3,1,2,0,0,0,0,1,0,0,4,10,10,10,25,6,0,0,1,9,1,0,1,0,0,4,22.5,22.5,22.5,24.02,13.95,3.75,2.25,20.25,0.11,2.25,4,36,-32,0.385,40,11.07,9.24,8.55,553.64,527.98,343.24,0.429,0.64,0.643,1.283,110,36.7,27.5,4.4,0,0,0,0,0,0,0,3,13.5,0,1,0,0,0,1,0,0,2,49,25,-0.29,-0.26,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,,1,0,0,1,30.5,0.12,-0.21,0.385,13,35.7,0,64.3,64.3,0,0.6,11.1,0
김동혁,-0.51,35,2,33,11,0,0,1,7,0,6,39.1,32,34,32.3,192,51,9,3,1,18,6,0,24,3,2,0,7.32,7.78,7.39,7.64,4.52,1.75,5.49,4.12,1.33,0.23,12.5,9.4,3.1,0.36,55.4,4.27,5.03,2.8,180.17,167.89,111.17,0.313,0.399,0.423,0.822,718,20.5,18.3,3.74,0,0,0,0,0,0,0,30,54,0,2,0,0,0,13,5,38.5,2.5,58,25,-0.58,-0.5,7,0,6,0,6,1,0,1,85.7,0,1,0,0,7,10,9,2,22.2,13,5,38.5,1.04,18.24,0.86,-0.01,0.36,139,61.1,1.4,33.3,34.7,4.2,1.8,2,5.9
변시원,-0.6,4,0,4,0,0,0,0,0,0,0,2.1,11,11,8.25,19,6,2,0,1,4,2,0,2,0,0,0,42.43,42.43,31.82,32.41,14.78,4.29,7.71,15.43,0.5,3.86,10.5,21.1,-10.5,0.5,9.1,9.79,6.66,27.65,1044.01,712.35,363.63,0.462,0.632,0.846,1.478,68,17,29.1,3.58,0,,0,,0,0,0,1,,0,0,,0,0,6,6,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,3,1,33.3,6,6,100,0.58,17,0.73,-0.6,0.5,10,45.5,9.1,45.5,54.5,0,0.8,16.7,16.7
하영민,-0.7,57,0,57,7,0,0,3,1,0,5,52.1,27,36,38.4,247,67,8,4,4,25,1,3,51,6,0,6,4.64,6.19,6.6,6.81,3.86,1.76,8.77,4.3,2.04,0.69,20.6,10.1,10.5,0.387,65.5,3.03,4.14,0.78,114.26,149.75,95.05,0.309,0.381,0.438,0.819,933,16.4,17.8,3.78,0,,0,,0,0,0,28,,0,0,,0,0,17,7,41.2,,,,,,12,1,5,0,5,2,0,2,71.4,0,0,0,0,15,16,39,12,30.8,17,7,41.2,0.92,16.37,1.24,-0.7,0.387,163,46.5,3.5,47.6,51.2,2.4,0.9,4.6,3
양현,-0.74,54,0,54,12,0,0,0,5,0,8,57,32,38,43.65,262,83,9,2,5,21,0,1,16,6,1,0,5.05,6,6.89,7.07,5.28,1.82,2.53,3.32,0.76,0.79,6.1,8,-1.9,0.359,68,4.31,5.63,-0.23,124.33,155.32,129.9,0.356,0.402,0.476,0.878,943,17.5,16.5,3.6,0,,0,,0,0,0,22,,0,0,,0,0,11,5,45.5,,,,,,10,2,12,0,8,1,0,1,88.9,0,2,1,0,13,12,41,17,41.5,11,5,45.5,1.06,17.46,0.98,-0.74,0.359,217,52.4,3.1,40.9,44,3.6,1.2,5.1,13.3
김선기,-0.8,17,7,10,6,0,0,1,3,1,0,43.2,29,37,37.85,200,56,16,2,2,15,1,0,29,4,1,0,5.98,7.63,7.8,7.94,3.87,1.63,5.98,3.09,1.93,0.41,14.5,7.5,7,0.358,50.7,3.41,4.56,2.11,147.07,174.52,95.22,0.309,0.364,0.453,0.817,753,44.3,17.2,3.77,1,14.3,0,0,2,0,0,15,4,3,4,42.9,0,1,3,2,66.7,4.86,79.43,45.14,-0.39,0.22,0,0,1,1,0,0,0,0,100,1,0,0,0,3,6,6,4,66.7,3,2,66.7,0.97,19.7,1.18,-1.02,0.358,151,45.2,5.2,49.7,54.8,0,0.8,2.4,5.4
