Name,Team,Season,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,closer war,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,ESPN,PPF,PF_inverse,Predicted_Ridge_ERA,New_ridge_ERA,Normalized_New_ridge_ERA,lasso_Predicted_ERA,New_Lasso_ERA,Normalized_New_Lasso_ERA,Predicted_Elastic_ERA,New_Elastic_ERA,Normalized_New_Elastic_ERA,Predicted_ERA_XGBoost,New_xgboost_ERA,Normalized_New_xgboost_ERA
백정현,Samsung,23,2.92,18,18,0,0,0,0,7,5,0,0,100.2,41,44,42.1,419,100,19,2,6,30,0,2,61,1,1,5,3.67,3.93,3.76,3.63,3.91,1.29,5.45,2.68,2.03,0.54,14.6,7.2,7.4,0.298,70.5,3.27,4.51,-0.24,85.59,75.8,91.21,0.264,0.316,0.372,0.688,1589,88.3,15.8,3.79,8,44.4,3,16.7,6,0,2,54,4.8,11,7,61.1,0,1,7,4,57.1,5.59,88.28,1.13,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,7,4,57.1,0,0,0,315,48.2,5.8,44.2,50,1.8,1,3.7,7,1.061897,1.029,0.971817298,82.24493294,79.92704853,0.227563023,82.05984449,79.74717637,0.225179251,82.05984449,79.74717637,0.225179251,83.67776,81.319492,0.219917908
수아레즈,Samsung,23,2.55,19,19,0,0,0,0,4,7,0,0,108,47,54,51.05,479,129,19,1,3,32,2,0,88,10,0,6,3.92,4.5,4.25,4.09,3.12,1.49,7.33,2.67,2.75,0.25,18.4,6.7,11.7,0.362,68.6,2.86,4,0.8,91.46,85.35,72.83,0.299,0.345,0.368,0.713,1881,99,17.4,3.93,10,52.6,6,31.6,3,1,0,74,6.2,7,12,36.8,3,0,7,5,71.4,5.68,99,0.63,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,7,5,71.4,0,0,0,348,50.4,4.2,42.3,46.5,3.1,1.1,1.8,6.2,1.061897,1.029,0.971817298,90.14207777,87.60163049,0.265114146,90.21118151,87.6687867,0.263583716,90.21118151,87.6687867,0.263583716,91.78791,89.20107917,0.264812195
코너,Samsung,24,5.95,28,28,0,1,1,1,11,6,0,0,160,61,67,65.45,663,135,17,3,21,40,19,0,158,4,0,9,3.43,3.77,3.68,3.54,4.44,1.09,8.89,2.25,3.95,1.18,23.8,6,17.8,0.27,77,2.98,3.26,-1,65.9,61.72,86.57,0.226,0.293,0.37,0.663,2604,93,16.3,3.93,13,46.4,8,28.6,7,0,0,82,4.6,16,12,57.1,0,0,13,3,23.1,5.71,93,3.1,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,13,3,23.1,0,0,0,423,37.9,7.2,52.2,59.4,2.7,0.6,7.9,7.4,1.122271,1.0639,0.939937964,73.39720831,68.98882255,0.174043148,73.28509292,68.88344104,0.172511179,73.28509292,68.88344104,0.172511179,66.978966,62.95607271,0.115318086
원태인,Samsung,24,5.87,28,28,0,1,1,0,15,6,0,0,159.2,65,68,67.3,670,150,29,3,17,42,7,1,119,5,0,3,3.66,3.83,3.79,3.58,4.55,1.2,6.71,2.37,2.83,0.96,17.8,6.3,11.5,0.278,74.9,3.39,4.02,-0.89,70.37,62.33,88.89,0.245,0.3,0.385,0.685,2693,96.2,16.9,4.02,13,46.4,3,10.7,6,0,0,92,5.2,15,11,57.7,0,0,4,1,25,5.7,96.18,3.03,5.87,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,0,0,0,4,1,25,0,0,0,479,44.6,5.6,45,50.6,4.8,0.9,6.7,12,1.122271,1.0639,0.939937964,78.35787898,73.65154524,0.196857482,78.12389878,73.43161837,0.194561029,78.12389878,73.43161837,0.194561029,74.20269,69.74592549,0.153993748
레예스,Samsung,24,5.06,26,26,0,0,0,0,11,4,0,0,144,61,65,62.55,617,159,21,3,15,30,7,0,114,5,0,4,3.81,4.06,3.91,3.72,4.26,1.31,7.13,1.88,3.8,0.94,18.5,4.9,13.6,0.323,74.9,3.12,3.77,-0.44,73.22,64.8,83.07,0.278,0.32,0.404,0.724,2429,93.4,16.9,3.94,12,46.2,2,7.7,5,0,0,115,7.2,17,9,65.4,0,0,18,5,27.8,5.54,93.42,2.5,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,0,0,18,5,27.8,0,0,0,446,47,5.4,44.6,50,3,0.9,6.4,11.3,1.122271,1.0639,0.939937964,81.65396524,76.74966184,0.212016321,81.46373394,76.57085623,0.209780251,81.46373394,76.57085623,0.209780251,77.168365,72.53347634,0.169871909
이승현,Samsung,24,2.7,17,17,0,0,0,0,6,4,0,0,87.1,41,44,41.9,384,88,11,1,9,37,6,0,68,3,0,4,4.23,4.53,4.32,4.11,5.01,1.43,7.01,3.81,1.84,0.93,17.7,9.6,8.1,0.304,73.7,3.87,4.43,-0.78,81.15,71.64,97.69,0.264,0.345,0.384,0.729,1528,89.9,17.5,3.98,5,29.4,0,0,7,0,0,46,4.7,10,7,58.8,0,0,7,3,42.9,5.14,89.88,1.14,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,7,3,42.9,0,0,0,260,50.9,5.1,41.4,46.5,2.6,1.1,7.1,10.2,1.122271,1.0639,0.939937964,92.95629413,87.37314986,0.263996208,92.77760058,87.20518901,0.261336165,92.77760058,87.20518901,0.261336165,85.59684,80.45571943,0.214997776
켈리,LG,22,6.14,27,27,0,0,0,0,16,4,0,0,166.1,47,50,50,664,144,10,4,10,35,2,0,153,5,0,3,2.54,2.71,2.71,2.93,2.89,1.08,8.28,1.89,4.37,0.54,23,5.3,17.8,0.29,78.4,2.25,3.27,-0.35,65.71,67.52,74.66,0.232,0.273,0.309,0.582,2515,93.1,15.1,3.79,19,70.4,8,29.6,3,0,0,104,5.6,18,8,69.2,0,0,4,0,0,6.16,93.15,3.19,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,4,0,0,0,0,0,462,50.8,3.6,42.6,46.2,3,1.1,4.6,10.4,0.860915,0.945,1.058201058,53.47465422,56.58693569,0.113361697,53.38648734,56.4936374,0.112444632,53.38648734,56.4936374,0.112444632,61.818375,65.41626945,0.129331606
플럿코,LG,22,5.94,28,28,0,0,0,0,15,5,0,0,162,43,53,50.6,644,125,18,2,13,38,2,2,149,10,0,5,2.39,2.94,2.81,2.95,3.19,1.01,8.28,2.11,3.92,0.72,23.1,5.9,17.2,0.256,76.2,2.33,3.33,-0.8,61.72,68.16,82.32,0.21,0.258,0.313,0.571,2578,92.1,15.9,4,18,64.3,4,14.3,5,0,1,124,6.9,20,8,71.4,0,0,12,5,41.7,5.79,92.07,3.06,5.94,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,12,5,41.7,0,0,0,438,34.9,6.8,55.4,62.2,2.9,0.6,4.6,8.8,0.860915,0.945,1.058201058,57.90002608,61.26986887,0.136274918,57.84080309,61.20719904,0.135296275,57.84080309,61.20719904,0.135296275,59.40161,62.85884797,0.114764285
김윤식,LG,22,3.23,23,23,0,0,0,0,8,5,0,0,114.1,42,46,43.6,483,125,22,1,5,27,1,2,81,8,0,4,3.31,3.62,3.43,3.64,3.29,1.33,6.38,2.13,3,0.39,16.8,5.6,11.2,0.331,73.3,2.85,4.06,0.01,85.42,83.9,85.08,0.28,0.321,0.368,0.689,1793,78,15.7,3.71,11,47.8,1,4.3,7,0,0,67,5.3,16,7,69.6,0,0,16,6,37.5,4.97,77.96,1.2,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,16,6,37.5,0,0,0,363,52.1,6.7,37.7,44.4,3.5,1.2,3,6.4,0.860915,0.945,1.058201058,74.58373843,78.92459093,0.222658077,74.40178854,78.73205137,0.220257861,74.40178854,78.73205137,0.220257861,72.01617,76.2075838,0.190799982
임찬규,LG,22,1.16,23,23,0,0,0,0,6,11,0,0,103.2,58,60,55.7,459,113,13,3,10,39,7,0,75,5,0,3,5.04,5.21,4.84,5.22,4.5,1.47,6.51,3.39,1.92,0.87,16.3,8.5,7.8,0.319,68.3,3.45,4.46,0.54,130.11,120.35,116.25,0.281,0.35,0.403,0.753,1692,73.6,16.3,3.69,3,13,0,0,11,0,0,46,4,10,13,43.5,0,0,18,9,50,4.51,73.57,-0.69,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,18,9,50,0,0,0,323,43.2,4.7,48.8,53.6,3.3,0.8,5.5,8,0.860915,0.945,1.058201058,105.6102951,111.756926,0.383304096,105.6140673,111.7609177,0.380383882,105.6140673,111.7609177,0.380383882,121.78839,128.8766044,0.490807844
이민호,LG,22,0.69,26,26,0,0,0,0,12,8,0,0,119.1,73,77,72.9,540,146,23,5,14,43,7,0,73,3,0,9,5.51,5.81,5.5,5.79,4.95,1.58,5.51,3.24,1.7,1.06,13.5,8,5.6,0.333,67.6,3.65,4.73,0.56,142.26,133.62,127.89,0.305,0.367,0.462,0.829,2103,80.9,17.6,3.89,5,19.2,0,0,12,0,0,72,5.4,17,8,68,0,0,24,8,33.3,4.59,80.88,-1.43,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,24,8,33.3,0,0,0,397,45.6,4.1,48,52,2.4,0.9,6.5,4.8,0.860915,0.945,1.058201058,118.6506027,125.5561933,0.45082282,118.5253382,125.4236384,0.446621611,118.5253382,125.4236384,0.446621611,139.61133,147.7368552,0.598237666
플럿코,LG,23,4.97,21,21,0,0,0,0,11,3,0,0,123.1,33,37,37,510,115,21,3,5,31,3,1,101,6,0,2,2.41,2.7,2.7,2.74,3.14,1.18,7.37,2.26,3.26,0.37,19.8,6.1,13.7,0.301,78.9,2.74,3.75,-0.73,60.51,61.44,78.87,0.244,0.295,0.333,0.628,1972,93.9,16,3.87,15,71.4,3,14.3,3,0,0,76,5.5,14,5,73.7,0,0,6,0,0,5.87,93.9,2.77,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,0,6,0,0,0,0,0,365,38.7,10.4,48,58.4,2.9,0.7,2.3,13,0.879993,0.9572,1.044713748,56.0530426,58.55938424,0.123012731,55.7474976,58.24017719,0.120911966,55.7474976,58.24017719,0.120911966,62.526894,65.32270541,0.128798656
켈리,LG,23,3.93,30,30,0,0,0,0,10,7,0,0,178.2,76,87,81.9,746,183,31,3,10,39,6,1,129,7,0,6,3.83,4.38,4.13,4.27,3.49,1.24,6.5,1.97,3.31,0.5,17.3,5.2,12.1,0.311,65.9,2.9,3.95,0.34,96.19,95.91,87.72,0.266,0.308,0.363,0.671,2743,91.4,15.4,3.68,18,60,9,30,2,3,0,111,5.6,20,10,66.7,2,1,16,11,68.8,5.96,91.43,0.76,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,16,11,68.8,0,0,0,556,43.4,5.6,47.4,53,3.7,0.8,3.3,8.7,0.879993,0.9572,1.044713748,87.56304517,91.47831715,0.284082467,87.70957789,91.63140189,0.282794724,87.70957789,91.63140189,0.282794724,84.42871,88.20383508,0.259131796
엔스,LG,24,4.33,30,30,0,0,0,0,13,6,0,0,167.2,78,84,83.65,714,169,29,3,16,50,6,0,157,9,0,4,4.19,4.51,4.49,4.64,4.03,1.31,8.43,2.68,3.14,0.86,22,7,15,0.321,69.5,2.99,3.6,0.16,87.84,88.25,85.91,0.263,0.319,0.392,0.711,2906,96.9,17.3,4.07,13,43.3,1,3.3,5,0,0,115,6.2,19,11,63.3,0,0,8,1,12.5,5.59,96.87,1.35,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,8,1,12.5,0,0,0,476,48.7,6,42.9,48.9,2.4,1,6.5,9.5,0.919056,0.9735,1.027221366,88.61312776,91.02529816,0.281865881,88.56571304,90.97659275,0.279620168,88.56571304,90.97659275,0.279620168,88.03523,90.43167185,0.271821771
켈리,LG,24,2.2,19,19,0,2,2,1,5,8,0,0,113.2,57,65,65,495,131,18,1,13,25,6,0,69,4,0,9,4.51,5.15,5.15,5.28,4.89,1.37,5.46,1.98,2.76,1.03,13.9,5.1,8.9,0.313,67.4,3.65,4.33,-0.37,94.69,100.36,104.22,0.29,0.331,0.421,0.752,1813,95.4,16,3.66,11,57.9,3,15.8,2,0,0,47,3.7,10,9,52.6,0,0,2,0,0,5.98,95.42,0.18,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,2,0,0,0,0,0,377,41,4.3,49.1,53.4,5.6,0.8,6.2,6.1,0.919056,0.9735,1.027221366,104.2011532,107.0376509,0.360213057,104.2594676,107.0975527,0.357775596,104.2594676,107.0975527,0.357775596,95.73502,98.34106163,0.316874424
