Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
김민규,-0.07,7,0,7,3,0,0,0,0,0,0,6.1,4,4,6.05,30,8,1,0,0,3,0,0,2,0,0,1,5.68,5.68,8.6,8.9,4.88,1.74,2.84,4.26,0.67,0,6.7,10,-3.3,0.333,63.6,4.98,5.8,0.81,117.6,166.9,102.57,0.32,0.379,0.36,0.739,112,16,17.7,3.73,0,,0,,0,0,0,2,,0,0,,0,0,1,0,0,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,4,4,100,1,0,0,0.9,16,0.42,-0.07,0.333,24,56,4,36,40,4,1.4,0,25,942,955,1036,1136,1085,1052
서의태,-0.08,11,0,11,2,0,0,1,0,0,0,7.2,8,8,7.3,34,5,1,0,1,8,0,0,7,0,0,1,9.39,9.39,8.57,8.78,6.7,1.7,8.22,9.39,0.88,1.17,20.6,23.5,-2.9,0.222,41.7,5.19,5.75,2.69,194.3,164.72,140.95,0.192,0.382,0.346,0.728,149,13.5,19.4,4.38,0,,0,,0,0,0,0,,0,0,,0,0,6,3,50,,,,,,2,0,1,0,0,0,0,0,,0,0,0,0,1,2,8,2,25,6,3,50,0.7,13.55,0.4,-0.08,0.222,18,68.4,0,26.3,26.3,5.3,2.6,20,0,942,955,1036,1136,1085,1052
신영우,-0.13,4,2,2,2,0,0,0,1,0,0,9.1,11,11,10.15,52,9,3,0,0,15,2,0,6,0,0,1,10.61,10.61,9.79,9.54,8.24,2.57,5.79,14.46,0.4,0,11.5,28.8,-17.3,0.333,57.7,8.34,7.48,2.37,219.46,178.97,173.22,0.29,0.52,0.387,0.907,200,50,21.4,3.85,0,0,0,0,1,0,0,7,17.2,1,1,50,0,0,5,2,40,1.83,50,37,-0.23,-0.17,0,0,2,0,0,0,0,0,,0,0,0,0,0,2,0,0,,5,2,40,2.83,50,0.16,0.03,0.333,27,44.8,3.4,48.3,51.7,3.4,0.9,0,0,942,955,1036,1136,1085,1052
소이현,-0.15,4,0,4,3,0,0,0,0,0,0,3.1,5,7,5.95,19,6,3,0,0,1,1,0,1,1,0,0,13.5,18.9,16.07,16.65,5.31,2.1,2.7,2.7,1,0,5.3,5.3,0,0.375,12.5,5.53,5.4,8.19,279.31,312.37,111.63,0.353,0.421,0.529,0.95,64,16,19.2,3.37,0,,0,,0,0,0,1,,0,0,,0,0,2,2,100,,,,,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,2,2,100,0.83,16,0.02,-0.15,0.375,16,31.3,6.3,62.5,68.8,0,0.5,0,0,942,955,1036,1136,1085,1052
김태현,-0.2,11,0,11,2,0,0,0,0,0,0,10,8,10,11.2,50,14,4,0,3,7,0,0,3,2,0,1,7.2,9,10.08,10.43,9.19,2.1,2.7,6.3,0.43,2.7,6,14,-8,0.314,64.7,5.78,6.36,-1.99,148.97,195.74,193.21,0.35,0.438,0.675,1.113,187,17,18.7,3.74,0,,0,,0,0,0,10,,0,0,,0,0,1,1,100,,,,,,0,0,3,0,0,0,0,0,,0,0,0,0,0,3,7,3,42.9,1,1,100,0.91,17,0.31,-0.2,0.314,35,40,2.5,57.5,60,0,0.7,12.5,7.1,942,955,1036,1136,1085,1052
목지훈,-0.26,3,3,0,0,0,0,0,1,0,0,9,12,12,11.15,52,15,6,0,1,10,2,0,3,1,0,1,12,12,11.15,11.79,8.82,2.78,3,10,0.3,1,5.8,19.2,-13.5,0.389,57.7,7.63,7.02,3.18,248.28,221.24,185.48,0.375,0.519,0.6,1.119,215,71.7,23.9,4.13,0,0,0,0,1,0,0,11,11,1,2,33.3,0,0,3,2,66.7,3,71.67,30.67,-0.42,-0.26,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,,3,2,66.7,,,,,0.389,36,45.9,2.7,45.9,48.6,5.4,0.9,5.6,6.7,942,955,1036,1136,1085,1052
전사민,-0.45,17,0,17,9,0,0,0,0,0,0,23.2,25,25,26.05,128,39,6,1,3,17,3,0,17,0,2,4,9.51,9.51,9.91,10.02,6.53,2.37,6.47,6.47,1,1.14,13.3,13.3,0,0.414,61.8,5.14,5.4,2.98,196.7,187.93,137.33,0.371,0.465,0.533,0.998,479,28.2,20.2,3.74,0,,0,,0,0,0,10,,0,0,,0,0,8,3,37.5,,,,,,0,0,6,0,0,0,0,0,,0,0,0,0,0,2,8,6,75,8,3,37.5,1.39,28.18,0.39,-0.45,0.414,87,50.5,2.2,44,46.2,3.3,1.1,7.1,10.3,942,955,1036,1136,1085,1052
전루건,-0.45,6,0,6,1,0,0,0,0,0,0,5.2,14,14,14.15,44,15,3,0,0,9,4,0,0,0,0,0,22.24,22.24,22.47,21.89,11.31,4.24,0,14.29,0,0,0,20.5,-20.5,0.517,50,11.5,7.85,10.92,460.04,410.68,237.82,0.556,0.667,0.667,1.334,174,29,30.7,3.95,0,,0,,0,0,0,3,,0,0,,0,0,9,1,11.1,,,,,,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,1,100,9,1,11.1,0.94,29,0.11,-0.45,0.517,29,41.9,3.2,48.4,51.6,6.5,0.8,0,6.7,942,955,1036,1136,1085,1052
이준호,-0.62,38,2,36,12,0,0,3,5,0,2,49.1,41,41,46.4,243,71,11,0,7,26,3,0,42,1,0,0,7.48,7.48,8.46,8.64,5.58,1.97,7.66,4.74,1.62,1.28,17.3,10.7,6.6,0.393,65.6,4.02,4.61,1.9,154.75,162.17,117.36,0.34,0.415,0.493,0.908,1019,26.8,20.7,4.19,0,0,0,0,0,0,0,23,51.8,0,2,0,0,0,11,7,63.6,2,59.5,22,-0.64,-0.57,3,0,15,0,2,0,3,3,40,0,0,0,1,4,12,30,17,56.7,11,7,63.6,1.26,25,0.73,-0.05,0.393,163,43,2.9,50.6,53.5,3.5,0.8,7.6,9.9,942,955,1036,1136,1085,1052
이용찬,-1.14,57,0,57,36,0,0,3,9,16,2,54.1,37,48,46.5,262,82,20,3,6,21,2,1,49,5,0,6,6.13,7.95,7.7,8,4.57,1.9,8.12,3.48,2.33,0.99,18.7,8,10.7,0.425,58.8,3.37,4.12,1.56,126.8,150.01,96.11,0.353,0.409,0.543,0.952,1042,18.3,19.2,3.98,0,,0,,0,0,0,7,,0,0,,0,0,13,7,53.8,,,,,,13,1,10,16,2,4,1,5,78.3,2,1,2,0,19,17,22,5,22.7,13,7,53.8,0.95,18.28,1.66,-1.14,0.425,179,46.3,3.2,46.8,50,3.7,0.9,6.3,7.3,942,955,1036,1136,1085,1052
